han,name,hex,dec,note
諺,3827,8AFA,35578,
諮,3828,8AEE,35566,
諱,3829,8AF1,35569,
謀,3830,8B00,35584,
諜,3831,8ADC,35548,
諫,3832,8AEB,35563,
諧,3833,8AE7,35559,
諾,3834,8AFE,35582,
謁,3835,8B01,35585,
謂,3836,8B02,35586,
諷,3837,8AF7,35575,
諭,3838,8AED,35565,
謎,3839,8B0E,35598,
謗,3840,8B17,35607,
謙,3841,8B19,35609,
講,3842,8B1B,35611,
謊,3843,8B0A,35594,
謠,3844,8B20,35616,
謝,3845,8B1D,35613,
謄,3846,8B04,35588,
謨,3847,8B28,35624,
謹,3848,8B39,35641,
謬,3849,8B2C,35628,
譜,3850,8B5C,35676,
識,3851,8B58,35672,
譁,3852,8B41,35649,
證,3853,8B49,35657,
譚,3854,8B5A,35674,
譎,3855,8B4E,35662,
譏,3856,8B4F,35663,
議,3857,8B70,35696,
譬,3858,8B6C,35692,
警,3859,8B66,35686,
譯,3860,8B6F,35695,
護,3861,8B77,35703,
譴,3862,8B74,35700,
譽,3863,8B7D,35709,
讀,3864,8B80,35712,
變,3865,8B8A,35722,
讓,3866,8B93,35731,
讒,3867,8B92,35730,
讖,3868,8B96,35734,
讚,3869,8B9A,35738,
谷,3870,8C37,35895,
豁,3871,8C41,35905,
谿,3872,8C3F,35903,
豆,3873,8C46,35910,
豈,3874,8C48,35912,
豉,3875,8C49,35913,
豌,3876,8C4C,35916,
豎,3877,8C4E,35918,
豐,3878,8C50,35920,
豔,3879,8C54,35924,⿰豐盍
艶,3879V,8276,33398,⿰豐色
豕,3880,8C55,35925,
豚,3881,8C5A,35930,
象,3882,8C61,35937,
豢,3883,8C62,35938,
豪,3884,8C6A,35946,
豬,3885,8C6C,35948,
豫,3886,8C6B,35947,
豺,3887,8C7A,35962,
豹,3888,8C79,35961,
貂,3889,8C82,35970,
貉,3890,8C89,35977,
貌,3891,8C8C,35980,
貓,3892,8C93,35987,
貝,3893,8C9D,35997,
貞,3894,8C9E,35998,
負,3895,8CA0,36000,
財,3896,8CA1,36001,
貢,3897,8CA2,36002,
販,3898,8CA9,36009,
責,3899,8CAC,36012,
貫,3900,8CAB,36011,
貨,3901,8CA8,36008,
貪,3902,8CAA,36010,
貧,3903,8CA7,36007,
貯,3904,8CAF,36015,
貳,3905,8CB3,36019,
賁,3906,8CC1,36033,
費,3907,8CBB,36027,
賀,3908,8CC0,36032,
貼,3909,8CBC,36028,
貴,3910,8CB4,36020,
買,3911,8CB7,36023,
貽,3912,8CBD,36029,
貶,3913,8CB6,36022,
貿,3914,8CBF,36031,
貸,3915,8CB8,36024,
賅,3916,8CC5,36037,
資,3917,8CC7,36039,
賊,3918,8CCA,36042,
賈,3919,8CC8,36040,
貲,3920,8CB2,36018,
賄,3921,8CC4,36036,
賃,3922,8CC3,36035,
賂,3923,8CC2,36034,
賓,3924,8CD3,36051,
賑,3925,8CD1,36049,
賒,3926,8CD2,36050,
賠,3927,8CE0,36064,
賦,3928,8CE6,36070,
賤,3929,8CE4,36068,
