han,name,hex,dec
鶬,815,9DAC,40364
藏,816,85CF,34255
操,817,64CD,25805
糙,818,7CD9,31961
曹,819,66F9,26361
嘈,820,5608,22024
嶆,821,5D86,23942
漕,822,6F15,28437
槽,823,69FD,27133
𥕢,824,25562,152930
褿,825,893F,35135
螬,826,87AC,34732
艚,827,825A,33370
草,828,8349,33609
愺,829,613A,24890
懆,830,61C6,25030
騲,831,9A32,39474
肏,832,808F,32911
鄵,833,9135,37173
册,834,518C,20876
畟,835,755F,30047
厠,836,53A0,21408
笧,837,7B27,31527
側,838,5074,20596
粣,839,7CA3,31907
𡍪,840,2136A,136042
萴,841,8434,33844
策,842,7B56,31574
廁,843,5EC1,24257
測,844,6E2C,28204
惻,845,60FB,24827
筴,846,7B74,31604
矠,847,77E0,30688
墄,848,5884,22660
簎,849,7C0E,31758
㠁,850,3801,14337
篸,851,7BF8,31736
岑,852,5C91,23697
涔,853,6D94,28052
梣,854,68A3,26787
嶜,855,5D9C,23964
嶒,856,5D92,23954
層,857,5C64,23652
驓,858,9A53,39507
蹭,859,8E6D,36461
叉,860,53C9,21449
扠,861,6260,25184
杈,862,6748,26440
臿,863,81FF,33279
䑡,864,4461,17505
差,865,5DEE,24046
插,866,63D2,25554
靫,867,976B,38763
嗏,868,55CF,21967
喳,869,55B3,21939
艖,870,8256,33366
鍤,871,9364,37732
鎈,872,9388,37768
秅,873,79C5,31173
㡸,874,3878,14456
垞,875,579E,22430
茬,876,832C,33580
茶,877,8336,33590
查,878,67E5,26597
㢉,879,3889,14473
搽,880,643D,25661
嵖,881,5D56,23894
𣘻,882,2363B,144955
䁟,883,405F,16479
䤩,884,4929,18729
察,885,5BDF,23519
䕓,886,4553,17747
䶪,887,4DAA,19882
蹅,888,8E45,36421
鑔,889,9454,37972
汊,890,6C4A,27722
奼,891,597C,22908
岔,892,5C94,23700
侘,893,4F98,20376
刹,894,5239,21049
衩,895,8869,34921
㤞,896,391E,14622
姹,897,59F9,23033
詫,898,8A6B,35435
拆,899,62C6,25286
釵,900,91F5,37365
柴,901,67F4,26612
豺,902,8C7A,35962
祡,903,7961,31073
喍,904,558D,21901
儕,905,5115,20757
茝,906,831D,33565
蠆,907,8806,34822
𧓽,908,274FD,161021
辿,909,8FBF,36799
㚲,910,36B2,14002
梴,911,68B4,26804
覘,912,8998,35224
惉,913,60C9,24777
裧,914,88E7,35047
幨,915,5E68,24168
襜,916,895C,35164
攙,917,6519,25881
䪜,918,4A9C,19100
棎,919,68CE,26830
孱,920,5B71,23409
鋋,921,92CB,37579
獑,922,7351,29521
誗,923,8A97,35479
撣,924,64A3,25763
儃,925,5103,20739
廛,926,5EDB,24283
潺,927,6F7A,28538
嬋,928,5B0B,23307
磛,929,78DB,30939
澶,930,6FB6,28598
毚,931,6BDA,27610
鄽,932,913D,37181
蟬,933,87EC,34796
𧴃,934,27D03,163075
瀍,935,700D,28685
蟾,936,87FE,34814
儳,937,5133,20787
劖,938,5296,21142
繵,939,7E75,32373
嚵,940,56B5,22197
巉,941,5DC9,24009
瀺,942,703A,28730
欃,943,6B03,27395
纏,944,7E8F,32399
躔,945,8E94,36500
讒,946,8B92,35730
鑱,947,9471,38001
饞,948,995E,39262
丳,949,4E33,20019
剗,950,5257,21079
産,951,7523,29987
剷,952,5277,21111
嵼,953,5D7C,23932
滻,954,6EFB,28411
蕆,955,8546,34118
幝,956,5E5D,24157
諂,957,8AC2,35522
燀,958,71C0,29120
繟,959,7E5F,32351
鏟,960,93DF,37855
闡,961,95E1,38369
䑎,962,444E,17486
囅,963,56C5,22213
讇,964,8B87,35719
硟,965,785F,30815
摲,966,6472,25714
懺,967,61FA,25082
羼,968,7FBC,32700
韂,969,97C2,38850
昌,970,660C,26124
倀,971,5000,20480
菖,972,83D6,33750
猖,973,7316,29462
娼,974,5A3C,23100
閶,975,95B6,38326
鯧,976,9BE7,39911
鼚,977,9F1A,40730
長,978,9577,38263
萇,979,8407,33799
常,980,5E38,24120
徜,981,5F9C,24476
場,982,5834,22580
腸,983,8178,33144
嘗,984,5617,22039
裳,985,88F3,35059
嫦,986,5AE6,23270
瑺,987,747A,29818
䠆,988,4806,18438
償,989,511F,20767
鱨,990,9C68,40040
昶,991,6636,26166
惝,992,60DD,24797
敞,993,655E,25950
廠,994,5EE0,24288
𢠵,995,22835,141365
氅,996,6C05,27653
鋹,997,92F9,37625
倡,998,5021,20513
鬯,999,9B2F,39727
唱,1000,5531,21809
淌,1001,6DCC,28108
悵,1002,60B5,24757
暢,1003,66A2,26274
畼,1004,757C,30076
韔,1005,97D4,38868
抄,1006,6284,25220
怊,1007,600A,24586
弨,1008,5F28,24360
訬,1009,8A2C,35372
超,1010,8D85,36229
鈔,1011,9214,37396
罺,1012,7F7A,32634
晁,1013,6641,26177
巢,1014,5DE2,24034
鄛,1015,911B,37147
漅,1016,6F05,28421
樔,1017,6A14,27156
嘲,1018,5632,22066
潮,1019,6F6E,28526
窲,1020,7AB2,31410
轈,1021,8F48,36680
鼂,1022,9F02,40706
吵,1023,5435,21557
炒,1024,7092,28818
煼,1025,717C,29052
麨,1026,9EA8,40616
耖,1027,8016,32790
車,1028,8ECA,36554
唓,1029,5513,21779
𤥭,1030,2496D,149869
硨,1031,7868,30824
蛼,1032,86FC,34556
扯,1033,626F,25199
屮,1034,5C6E,23662
坼,1035,577C,22396
𥿊,1036,25FCA,155594
䞣,1037,47A3,18339
硩,1038,7869,30825
掣,1039,63A3,25507
𤊿,1040,242BF,148159
撤,1041,64A4,25764
徹,1042,5FB9,24505
澈,1043,6F88,28552
䚢,1044,46A2,18082
抻,1045,62BB,25275
郴,1046,90F4,37108
捵,1047,6375,25461
琛,1048,741B,29723
棽,1049,68FD,26877
䐜,1050,441C,17436
綝,1051,7D9D,32157
瞋,1052,778B,30603
賝,1053,8CDD,36061
𤡳,1054,24873,149619
謓,1055,8B13,35603
臣,1056,81E3,33251
辰,1057,8FB0,36784
沉,1058,6C89,27785
忱,1059,5FF1,24561
莐,1060,8390,33680
宸,1061,5BB8,23480
陳,1062,9673,38515
桭,1063,686D,26733
晨,1064,6668,26216
愖,1065,6116,24854
蔯,1066,852F,34095
煁,1067,7141,28993
樄,1068,6A04,27140
塵,1069,5875,22645
敶,1070,6576,25974
霃,1071,9703,38659
諶,1072,8AF6,35574
螴,1073,87B4,34740
麎,1074,9E8E,40590
趻,1075,8DBB,36283
𧿒,1076,27FD2,163794
墋,1077,588B,22667
磣,1078,78E3,30947
踸,1079,8E38,36408
鍖,1080,9356,37718
疢,1081,75A2,30114
趁,1082,8D81,36225
齔,1083,9F54,40788
儭,1084,512D,20781
嚫,1085,56AB,22187
櫬,1086,6AEC,27372
襯,1087,896F,35183
䞋,1088,478B,18315
讖,1089,8B96,35734
琤,1090,7424,29732
棦,1091,68E6,26854
偁,1092,5041,20545
庱,1093,5EB1,24241
䟫,1094,47EB,18411
摚,1095,645A,25690
䞓,1096,4793,18323
稱,1097,7A31,31281
撑,1098,6491,25745
樘,1099,6A18,27160
噌,1100,564C,22092
赬,1101,8D6C,36204
橖,1102,6A56,27222
瞠,1103,77A0,30624
檉,1104,6A89,27273
竀,1105,7AC0,31424
蟶,1106,87F6,34806
朾,1107,673E,26430
成,1108,6210,25104
丞,1109,4E1E,19998
呈,1110,5448,21576
郕,1111,90D5,37077
承,1112,627F,25215
城,1113,57CE,22478
宬,1114,5BAC,23468
埕,1115,57D5,22485
乘,1116,4E58,20056
珵,1117,73F5,29685
掁,1118,6381,25473
盛,1119,76DB,30427
脭,1120,812D,33069
揨,1121,63E8,25576
棖,1122,68D6,26838
程,1123,7A0B,31243
筬,1124,7B6C,31596
裎,1125,88CE,35022
塍,1126,584D,22605
誠,1127,8AA0,35488
酲,1128,9172,37234
鋮,1129,92EE,37614
澂,1130,6F82,28546
澄,1131,6F84,28548
憕,1132,6195,24981
橙,1133,6A59,27225
懲,1134,61F2,25074
騬,1135,9A2C,39468
逞,1136,901E,36894
騁,1137,9A01,39425
秤,1138,79E4,31204
吃,1139,5403,21507
郗,1140,90D7,37079
哧,1141,54E7,21735
胵,1142,80F5,33013
蚩,1143,86A9,34473
眵,1144,7735,30517
笞,1145,7B1E,31518
瓻,1146,74FB,29947
