han,hex,dec
堺,583A,22586
塄,5844,22596
塊,584A,22602
塋,584B,22603
塌,584C,22604
塍,584D,22605
塏,584F,22607
塑,5851,22609
塒,5852,22610
塔,5854,22612
塗,5857,22615
塘,5858,22616
塚,585A,22618
塞,585E,22622
塢,5862,22626
塤,5864,22628
塥,5865,22629
填,586B,22635
塬,586C,22636
塱,5871,22641
塵,5875,22645
塹,5879,22649
塾,587E,22654
墀,5880,22656
墁,5881,22657
境,5883,22659
墅,5885,22661
墉,5889,22665
墊,588A,22666
墒,5892,22674
墓,5893,22675
増,5897,22679
墙,5899,22681
墚,589A,22682
墜,589C,22684
增,589E,22686
墟,589F,22687
墨,58A8,22696
墩,58A9,22697
墮,58AE,22702
墳,58B3,22707
墻,58BB,22715
墼,58BC,22716
墾,58BE,22718
壁,58C1,22721
壅,58C5,22725
壇,58C7,22727
壊,58CA,22730
壑,58D1,22737
壓,58D3,22739
壕,58D5,22741
壘,58D8,22744
壙,58D9,22745
壚,58DA,22746
壞,58DE,22750
壟,58DF,22751
壠,58E0,22752
壢,58E2,22754
壤,58E4,22756
壩,58E9,22761
士,58EB,22763
壬,58EC,22764
壮,58EE,22766
壯,58EF,22767
声,58F0,22768
売,58F2,22770
壳,58F3,22771
壶,58F6,22774
壹,58F9,22777
壺,58FA,22778
壽,58FD,22781
夂,5902,22786
处,5904,22788
备,5907,22791
変,5909,22793
夋,590B,22795
复,590D,22797
夏,590F,22799
夔,5914,22804
夕,5915,22805
外,5916,22806
夙,5919,22809
多,591A,22810
夜,591C,22812
够,591F,22815
夢,5922,22818
夤,5924,22820
夥,5925,22821
大,5927,22823
天,5929,22825
太,592A,22826
夫,592B,22827
夭,592D,22829
央,592E,22830
夯,592F,22831
失,5931,22833
夲,5932,22834
头,5934,22836
夷,5937,22839
夸,5938,22840
夹,5939,22841
夺,593A,22842
夼,593C,22844
夾,593E,22846
奀,5940,22848
奁,5941,22849
奂,5942,22850
奄,5944,22852
奇,5947,22855
奈,5948,22856
奉,5949,22857
奋,594B,22859
奎,594E,22862
奏,594F,22863
契,5951,22865
奔,5954,22868
奕,5955,22869
奖,5956,22870
套,5957,22871
奘,5958,22872
奚,595A,22874
奠,5960,22880
奢,5962,22882
奥,5965,22885
奩,5969,22889
奪,596A,22890
奬,596C,22892
奮,596E,22894
女,5973,22899
奴,5974,22900
奶,5976,22902
奸,5978,22904
她,5979,22905
奻,597B,22907
好,597D,22909
妁,5981,22913
如,5982,22914
妃,5983,22915
妄,5984,22916
妆,5986,22918
妇,5987,22919
妈,5988,22920
妊,598A,22922
妍,598D,22925
妒,5992,22930
